genre,top,left,font_pct
baltic folk,11418,694,100
baltic post-punk,5348,512,100
baltimore hip hop,6023,1105,101
baltimore indie,10146,454,103
band organ,16163,542,100
banda,11092,994,118
banda carnavalera,12961,965,101
banda de viento,12887,1084,100
banda guanajuatense,12810,939,100
banda jalisciense,13237,1017,103
banda militar,18001,571,100
banda peruana,13603,925,100
banda sinaloense,13351,909,102
bandinhas,5437,923,102
bandolim,15106,990,100
bandoneon,20222,621,100
bandung indie,7261,416,102
bandura,18072,512,100
bangalore indie,9417,659,100
bangla gojol,19738,828,100
bangla pop,11771,744,101
bangladeshi hip hop,8890,1026,100
bangladeshi indie,9315,596,100
bangladeshi rock,7881,566,100
banjara pop,8639,913,100
banjo,16318,885,101
bansuri,19375,495,100
baoule,7447,1115,100
baps,16407,858,100
baptist gospel,18159,341,100
barbadian pop,3214,967,108
barbershop,18235,458,100
barcadi,1294,1340,101
bard,17212,881,100
bardcore,4645,821,100
barnalog,14625,1019,100
barnasogur,16628,1106,100
barnemusikk,13721,927,102
barnmusik,14896,1073,103
barnsagor,16949,1299,102
barockinterpreten,20480,337,100
baroque,20573,394,105
baroque brass,21169,464,100
baroque cello,20047,566,100
baroque ensemble,20468,298,100
baroque pop,13034,559,107
baroque singing,19007,412,100
baroque violin,20281,445,100
baroque woodwind,20690,441,100
barrelhouse piano,20485,1079,100
basel indie,8359,475,100
bases de freestyle,8964,1203,103
basque folk,15263,781,100
bass house,1502,1214,104
bass music,1552,1148,100
bass trap,3557,897,103
bass trip,7002,1002,100
basshall,4248,1121,103
bassline,2031,1177,102
batak,7755,544,101
bath indie,12068,497,100
batida,2776,1219,100
batidao romantico,5706,1196,103
baton rouge indie,10650,443,100
baton rouge rap,5413,1121,105
batswana traditional,10587,941,100
battle rap,10882,996,101
bay area hip hop,5236,1134,100
bay area indie,11502,484,102
bayerischer rap,8552,1108,101
bboy,3244,1094,102
bc underground hip hop,8753,1038,102
beach house,4496,955,101
beach music,9843,677,100
beat italiano,12363,481,101
beat poetry,18966,1004,100
beatboxing,5818,1051,100
beatdown,9971,331,100
beatlesque,10613,454,105
beats,3857,1119,100
bebop,19354,913,104
bedroom pop,9805,716,112
bedroom r&amp;b,7128,828,107
bedroom soul,9854,975,104
belarusian electronic,1146,1099,100
belarusian hip hop,8702,990,101
belarusian indie,6518,588,101
belarusian metal,6063,160,100
belarusian pop,5615,765,101
belarusian punk,7348,506,100
belarusian rock,6456,563,100
belfast indie,8812,362,100
belfast metal,8210,165,100
belgian black metal,10660,55,100
belgian blues,11255,716,100
belgian classical piano,22543,473,100
belgian contemporary classical,21194,456,100
belgian dance,1342,990,102
belgian death metal,7964,160,100
belgian dnb,1663,1135,101
belgian edm,2156,929,104
belgian electronic,2728,1017,100
belgian experimental,15082,464,100
belgian hardcore,10770,270,100
belgian hip hop,11328,1068,104
belgian indie,8999,526,102
belgian indie rock,8481,398,100
belgian jazz,18732,808,100
belgian metal,8197,174,100
belgian modern jazz,15237,713,100
belgian new wave,3666,777,100
belgian pop,6691,793,103
belgian post-rock,10724,327,100
belgian punk,5566,264,100
belgian rock,8910,607,102
belgian singer-songwriter,17254,736,101
belgian stoner rock,8644,194,100
belgian techno,570,1221,101
bells,20573,289,100
belly dance,8013,943,102
belo horizonte indie,10954,731,101
bemani,18673,71,100
benga,13261,1075,100
bengali folk,19024,736,100
beninese pop,10233,984,100
bergamo indie,7780,528,102
bergen indie,7768,554,101
berlin minimal techno,609,1304,100
berlin school,11161,392,100
bern indie,8424,703,100
bernu dziesmas,11317,905,100
bgm,17504,953,102
bhajan,14860,760,103
bhangra,5544,1009,102
bhojpuri folk,12166,819,100
bhojpuri pop,7186,790,104
bhutanese pop,12128,858,100
bible,17709,1332,100
big band,19608,935,101
big beat,2119,860,103
big room,2236,760,109
bikutsi,8966,1007,100
binaural,18352,104,106
birdsong,17563,187,100
birmingham grime,11228,1070,102
birmingham hip hop,12363,1051,101
birmingham indie,7568,433,100
birmingham metal,9920,192,104
birthday,7039,957,100
bisaya indie,9513,495,100
bisaya rap,8990,1094,100
bisaya worship,12462,533,100
bisrock,11044,618,100
bitpop,3302,633,102
black 'n' roll,9488,101,100
black americana,11618,763,104
black comedy,18878,1075,100
black death,11748,87,100
black metal,10538,85,102
black metal argentino,9081,140,100
black noise,12274,27,100
black punk,8693,396,101
black sludge,11213,147,100
black speed metal,9537,88,100
black thrash,10018,129,101
blackened crust,11428,40,100
blackened deathcore,6964,127,101
blackened hardcore,9843,88,100
blackened screamo,10391,203,100
blackgaze,9884,87,101
blaskapelle,19696,777,101
blasmusik,19462,808,101
bleakgaze,9180,120,100
bleep techno,2611,1075,101
bloco,9600,903,100
bluegrass,15287,834,102
bluegrass fiddle,15374,609,100
bluegrass gospel,15498,830,101
blues,17792,1000,104
blues band,11882,877,100
blues latinoamericano,11218,633,100
blues mexicano,13108,642,100
blues rock,14688,781,109
blues-rock guitar,11452,839,100
bmore,2623,1148,100
bodo pop,7656,763,100
boeremusiek,10861,830,100
bogor indie,6272,388,101
bohemian baroque,20797,333,100
bohol indie,8359,591,100
bolero,17316,860,108
bolero cubano,18147,889,101
bolero mexicano,18381,864,103
bolivian metal,7756,304,100
bolivian rock,6480,639,100
bolobedu house,2425,1194,101
bomba,5150,1128,100
bomba y plena,14835,1023,100
bongo flava,9418,1077,101
boogaloo,15094,1049,101
boogie,3013,1143,100
boogie-woogie,18352,1007,100
boom bap,11516,858,103
boom bap brasileiro,10686,1082,102
boom bap espanol,12874,1007,104
bornehistorier,16920,1106,100
borneo traditional,13825,856,100
bornesange,10506,1103,101
bosnian electronic,1330,1210,100
bosnian indie,7173,797,100
bosnian pop,8897,624,101
bossa nova,16844,828,106
